Contig11	YP_009449015.1	YP_009449015.1 GTP ras-related protein Rac1 [Orpheovirus IHUMI-LCC2]	53.8	197	86	1	297	872	1	197	6.95e-73	231
Contig30	YP_009666148.1	YP_009666148.1 hypothetical protein FLA14_p101 [Diachasmimorpha longicaudata entomopoxvirus]	55.8	373	163	2	4822	3707	8	379	3.23e-136	430
Contig30	YP_010796805.1	YP_010796805.1 putative RNA helicase [Diachasmimorpha longicaudata entomopoxvirus]	55.8	373	163	2	4822	3707	8	379	3.23e-136	430
Contig30	YP_009173589.1	YP_009173589.1 Helicase 45 [Chrysochromulina ericina virus]	49.1	385	194	2	4876	3728	7	391	2.82e-118	381
Contig30	YP_010803108.1	YP_010803108.1 ATP-dependent RNA helicase DEAD-box [Fadolivirus algeromassiliense]	48.7	378	193	1	4837	3707	16	393	9.18e-118	380
Contig30	YP_003970003.1	YP_003970003.1 putative superfamily II helicase/eIF-4AIII [Cafeteria roenbergensis virus BV-PW1]	41.1	375	217	2	4822	3707	10	383	2.01e-98	325
Contig53	YP_009173627.1	YP_009173627.1 Hsp70 protein [Chrysochromulina ericina virus]	51.7	582	262	9	235	1938	2	578	7.75e-183	549
Contig53	YP_004061438.1	YP_004061438.1 hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1]	51.7	547	248	6	259	1863	5	547	9.30e-180	539
Contig53	YP_007676312.1	YP_007676312.1 heat shock protein 70 [Micromonas pusilla virus 12T]	53.0	547	240	8	259	1863	5	546	4.26e-179	537
Contig53	YP_003970036.1	YP_003970036.1 putative DnaK/Hsp70 [Cafeteria roenbergensis virus BV-PW1]	49.7	583	268	10	241	1944	2	574	8.63e-173	522
Contig53	YP_010776364.1	YP_010776364.1 hypothetical protein QJ849_gp451 [Powai lake megavirus]	51.2	547	249	8	259	1863	7	547	1.75e-172	521
Contig65	YP_009449015.1	YP_009449015.1 GTP ras-related protein Rac1 [Orpheovirus IHUMI-LCC2]	44.4	180	100	0	367	906	5	184	3.72e-45	163
Contig73	YP_008438010.1	YP_008438010.1 Alpha/beta hydrolase [Pandoravirus salinus]	38.4	112	35	3	1390	1725	43	120	8.48e-12	71.2
Contig73	YP_009483690.1	YP_009483690.1 Carboxylic ester hydrolase [Pandoravirus quercus]	31.9	116	44	3	1381	1725	37	118	1.05e-06	55.1
Contig73	YP_009481512.1	YP_009481512.1 Carboxylic ester hydrolase [Pandoravirus macleodensis]	31.9	113	42	3	1390	1725	32	110	9.43e-06	52.0
Contig78	YP_009447989.1	YP_009447989.1 ubiquitin family protein [Flamingopox virus FGPVKD09]	100	76	0	0	530	303	1	76	9.22e-47	151
Contig78	NP_955119.1	NP_955119.1 CNPV096 ubiquitin [Canarypox virus]	97.4	77	2	0	530	300	1	77	1.17e-46	151
Contig78	YP_009173411.1	YP_009173411.1 Ubiquitin [Chrysochromulina ericina virus]	96.1	77	3	0	530	300	1	77	2.63e-46	150
Contig78	YP_010783327.1	YP_010783327.1 ubiquitin family protein [Tetraselmis virus 1]	94.7	76	4	0	530	303	1	76	3.48e-44	144
Contig78	YP_001426684.1	YP_001426684.1 ubiquitin family protein [Acanthocystis turfacea chlorella virus 1]	96.1	76	3	0	530	303	1	76	7.00e-44	144
Contig79	YP_009447989.1	YP_009447989.1 ubiquitin family protein [Flamingopox virus FGPVKD09]	100	76	0	0	499	272	1	76	1.92e-45	151
Contig79	NP_955119.1	NP_955119.1 CNPV096 ubiquitin [Canarypox virus]	97.4	77	2	0	727	497	1	77	2.43e-45	151
Contig79	YP_009173411.1	YP_009173411.1 Ubiquitin [Chrysochromulina ericina virus]	96.1	77	3	0	727	497	1	77	5.42e-45	150
Contig79	YP_010783327.1	YP_010783327.1 ubiquitin family protein [Tetraselmis virus 1]	94.7	76	4	0	499	272	1	76	6.83e-43	144
Contig79	YP_001426684.1	YP_001426684.1 ubiquitin family protein [Acanthocystis turfacea chlorella virus 1]	96.1	76	3	0	499	272	1	76	1.36e-42	144
Contig80	YP_009447989.1	YP_009447989.1 ubiquitin family protein [Flamingopox virus FGPVKD09]	100	76	0	0	503	276	1	76	8.96e-46	148
Contig80	NP_955119.1	NP_955119.1 CNPV096 ubiquitin [Canarypox virus]	96.2	79	3	0	503	267	1	79	1.13e-45	148
Contig80	YP_009173411.1	YP_009173411.1 Ubiquitin [Chrysochromulina ericina virus]	96.1	76	3	0	503	276	1	76	1.46e-44	145
Contig80	YP_010783327.1	YP_010783327.1 ubiquitin family protein [Tetraselmis virus 1]	94.7	76	4	0	503	276	1	76	3.39e-43	142
Contig80	YP_007676278.1	YP_007676278.1 ubiquitin [Micromonas pusilla virus 12T]	93.5	77	5	0	503	273	1	77	3.53e-43	144
Contig100	YP_004732955.1	YP_004732955.1 hypothetical protein WIV_gp172 [Wiseana iridescent virus]	40.1	147	83	2	1153	716	11	153	1.13e-26	109
Contig100	YP_008357343.1	YP_008357343.1 Putative dual specificity phosphatase 13 [Invertebrate iridescent virus 22]	38.5	143	83	2	1153	728	10	148	1.37e-26	109
Contig100	YP_009010807.1	YP_009010807.1 Putative dual specificity phosphatase 13 [Invertebrate iridescent virus 22]	38.5	143	83	2	1153	728	10	148	2.65e-26	108
Contig100	YP_009010339.1	YP_009010339.1 Putative dual specificity phosphatase 13 [Invertebrate iridescent virus 30]	38.5	143	83	2	1153	728	10	148	4.79e-26	107
Contig100	YP_009010582.1	YP_009010582.1 Dual specificity protein phosphatase 3 [Invertebrate iridovirus 25]	38.3	149	85	3	1153	716	11	155	6.10e-24	101
Contig113	YP_009177033.1	YP_009177033.1 alkaline phosphodiesterase [Turkeypox virus]	33.8	358	164	13	278	1318	104	399	1.27e-38	157
Contig113	YP_009447949.1	YP_009447949.1 alkaline phosphodiesterase [Flamingopox virus FGPVKD09]	29.6	355	169	11	296	1318	119	406	1.12e-26	120
Contig113	YP_009046273.1	YP_009046273.1 alkaline phosphodiesterase [Pigeonpox virus]	28.7	355	172	11	296	1318	112	399	1.65e-24	113
Contig113	YP_009046034.1	YP_009046034.1 alkaline phosphodiesterase [Penguinpox virus]	28.2	355	174	11	296	1318	119	406	5.09e-24	111
Contig113	NP_038993.1	NP_038993.1 Alkaline phosphodiesterase [Fowlpox virus]	27.6	355	176	11	296	1318	119	406	3.27e-22	105
Contig125	YP_009330121.1	YP_009330121.1 hypothetical protein 1 [Beihai picorna-like virus 70]	33.4	607	377	9	4900	3125	1211	1805	6.78e-96	347
Contig125	YP_009333558.1	YP_009333558.1 hypothetical protein 1 [Beihai picorna-like virus 74]	36.1	596	357	11	4906	3146	1006	1586	1.30e-95	345
Contig125	YP_009333456.1	YP_009333456.1 hypothetical protein 1 [Beihai picorna-like virus 71]	33.1	605	372	10	4900	3140	1294	1883	4.11e-94	342
Contig125	YP_009337682.1	YP_009337682.1 hypothetical protein 1 [Wenzhou picorna-like virus 26]	34.5	576	360	9	4852	3140	1238	1801	1.08e-93	340
Contig125	YP_009333547.1	YP_009333547.1 hypothetical protein 1 [Beihai picorna-like virus 72]	35.9	577	344	13	4834	3119	1288	1843	2.85e-86	317
Contig132	YP_001497665.1	YP_001497665.1 hypothetical protein NY2A_B469L [Paramecium bursaria Chlorella virus NY2A]	27.4	336	148	11	1407	454	100	357	4.87e-28	120
Contig132	YP_001498496.1	YP_001498496.1 hypothetical protein AR158_c415L [Paramecium bursaria Chlorella virus AR158]	26.5	336	151	11	1407	454	70	327	2.40e-27	118
Contig132	YP_009665398.1	YP_009665398.1 polysaccharide deacetylase [Paramecium bursaria Chlorella virus NYs1]	27.1	336	149	11	1407	454	70	327	4.37e-27	117
Contig132	YP_009701742.1	YP_009701742.1 polysaccharide deacetylase [Paramecium bursaria Chlorella virus CVA-1]	24.2	248	105	8	1173	466	127	303	4.48e-11	68.9
Contig148	YP_010778246.1	YP_010778246.1 serine/threonine protein kinase [Bodo saltans virus]	33.2	277	151	11	2020	1238	28	286	1.14e-30	127
Contig148	YP_010778841.1	YP_010778841.1 serine/threonine protein kinase [Bodo saltans virus]	29.0	290	165	10	2041	1238	3	273	9.89e-27	116
Contig148	YP_010803051.1	YP_010803051.1 serine/threonine-protein kinase [Fadolivirus algeromassiliense]	30.2	225	143	5	1882	1226	65	281	1.44e-24	110
Contig148	YP_010841926.1	YP_010841926.1 putative serine/threonine-protein kinase [Cotonvirus japonicus]	25.4	307	190	8	2020	1184	19	314	2.27e-20	97.8
Contig148	YP_010777739.1	YP_010777739.1 putative serine/threonine-protein kinase receptor [Acanthamoeba polyphaga mimivirus]	31.3	201	120	6	1798	1205	1437	1622	5.11e-18	92.8
Contig154	YP_010778819.1	YP_010778819.1 dynamin-like protein [Bodo saltans virus]	29.9	531	322	20	4858	3365	41	554	2.81e-49	191
Contig154	YP_010803668.1	YP_010803668.1 dynamin GTPase [Fadolivirus algeromassiliense]	27.5	528	342	16	4858	3365	31	547	5.74e-44	174
Contig154	YP_010803032.1	YP_010803032.1 dynamin superfamily protein [Fadolivirus algeromassiliense]	27.0	293	181	8	4792	3920	83	344	3.79e-20	100
